symbol,datetime,last_price,highest,lowest,open,close,average,volume,amount,open_interest,settlement,upper_limit,lower_limit,pre_open_interest,pre_settlement,pre_close,ask_price1,ask_volume1,bid_price1,bid_volume1,ask_price2,ask_volume2,bid_price2,bid_volume2,ask_price3,ask_volume3,bid_price3,bid_volume3,ask_price4,ask_volume4,bid_price4,bid_volume4,ask_price5,ask_volume5,bid_price5,bid_volume5
SHFE.ru2105C14750,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,4,nan,1063.0,1.0,4,311.0,311.0,nan,0,112.0,1,nan,0,111.0,1,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C15000,2020-08-21 14:59:59.999501,257.0,279.0,257.0,257.0,257.0,259.764706,17,44160.0,78,258.0,1022.0,1.0,65,270.0,289.0,299.0,3,224.0,4,309.0,7,217.0,5,310.0,2,150.0,2,336.0,1,131.0,1,357.0,3,111.0,1
SHFE.ru2105C8500,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,4793.0,3288.0,0,4041.0,4041.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C8600,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,4695.0,3190.0,0,3943.0,3943.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C8700,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,4598.0,3093.0,0,3846.0,3846.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C8800,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,4502.0,2997.0,0,3750.0,3750.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C8900,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,4407.0,2902.0,0,3655.0,3655.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C9000,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,4312.0,2807.0,0,3560.0,3560.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C9100,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,4218.0,2713.0,0,3466.0,3466.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
SHFE.ru2105C9200,2020-08-21 14:59:59.999500,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,4124.0,2619.0,0,3372.0,3372.0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0,nan,0
